symbol,series,date,time,orno,bors,vd,vo,lp,mkt
XXX,EQ,3-Apr-06,9:59:19,200604030044050.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:19,200604036718139.00,S,25,25,2965,N
XXX,EQ,3-Apr-06,9:59:20,200604030040203.00,S,200,200,2965,N
XXX,EQ,3-Apr-06,9:59:20,200604030044294.00,B,40,200,2952.15,N
XXX,EQ,3-Apr-06,9:59:20,200604036718291.00,B,5,5,2941.1,N
XXX,EQ,3-Apr-06,9:59:22,200604030044535.00,B,10,10,2963,N
XXX,EQ,3-Apr-06,9:59:23,200604030044541.00,B,1,1,2935,N
XXX,EQ,3-Apr-06,9:59:25,200604030044789.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:25,200604030044880.00,B,100,100,2965,N
XXX,EQ,3-Apr-06,9:59:26,200604030044986.00,B,20,20,2965,N
XXX,EQ,3-Apr-06,9:59:27,200604030045106.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:28,200604033379019.00,S,5,5,2999,N
XXX,EQ,3-Apr-06,9:59:28,200604036719723.00,S,30,30,2970,N
XXX,EQ,3-Apr-06,9:59:30,200604036717751.00,S,100,200,2968,N
XXX,EQ,3-Apr-06,9:59:31,200604030044535.00,B,10,10,2965,N
XXX,EQ,3-Apr-06,9:59:31,200604033379440.00,B,1,1,2955,N
XXX,EQ,3-Apr-06,9:59:31,200604033379483.00,S,50,500,2964,N
XXX,EQ,3-Apr-06,9:59:36,200604036720432.00,S,20,20,3200,N
XXX,EQ,3-Apr-06,9:59:37,200604030042046.00,S,30,200,2964.9,N
XXX,EQ,3-Apr-06,9:59:37,200604030046039.00,S,105,105,2964,N
XXX,EQ,3-Apr-06,9:59:37,200604033379761.00,B,10,10,2960,N
XXX,EQ,3-Apr-06,9:59:37,200604033379809.00,S,5,5,2970,N
XXX,EQ,3-Apr-06,9:59:37,200604036720709.00,B,500,500,2965,N
XXX,EQ,3-Apr-06,9:59:38,200604030046299.00,S,1,1,,Y
XXX,EQ,3-Apr-06,9:59:38,200604033380473.00,S,1,1,2925,N
XXX,EQ,3-Apr-06,9:59:38,200604036721358.00,S,10,10,2960,N
XXX,EQ,3-Apr-06,9:59:40,200604030046887.00,B,100,100,2970,N
XXX,EQ,3-Apr-06,9:59:46,200604030037478.00,S,200,200,2969,N
XXX,EQ,3-Apr-06,9:59:46,200604030047658.00,B,200,200,2961.25,N
XXX,EQ,3-Apr-06,9:59:47,200604030047772.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:48,200604030047908.00,B,1,1,2955,N
XXX,EQ,3-Apr-06,9:59:48,200604033381837.00,S,1,1,2965,N
XXX,EQ,3-Apr-06,9:59:49,200604030036765.00,S,200,200,2970,N
XXX,EQ,3-Apr-06,9:59:49,200604030048091.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:59:50,200604030048206.00,B,66,66,2965,N
XXX,EQ,3-Apr-06,9:59:52,200604033353826.00,B,10,10,2925,N
XXX,EQ,3-Apr-06,9:59:54,200604030044789.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:54,200604030047658.00,B,200,200,2965.25,N
XXX,EQ,3-Apr-06,9:59:57,200604030049071.00,B,5,50,2962,N
XXX,EQ,3-Apr-06,9:59:57,200604033383051.00,B,1,1,2965,N
XXX,EQ,3-Apr-06,9:59:59,200604030049340.00,B,40,400,2961.35,N
XXX,EQ,3-Apr-06,9:59:59,200604033383363.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:59,200604036724833.00,B,28,279,,Y
XXX,EQ,3-Apr-06,10:00:02,200604033383865.00,B,2,2,2885,N
XXX,EQ,3-Apr-06,10:00:03,200604030047658.00,B,200,200,2965.25,N
XXX,EQ,3-Apr-06,10:00:05,200604030050097.00,B,1,1,2970,N
XXX,EQ,3-Apr-06,10:00:06,200604030050305.00,S,36,36,2969,N
XXX,EQ,3-Apr-06,10:00:07,200604036726236.00,S,15,15,2970,N
XXX,EQ,3-Apr-06,10:00:10,200604030050816.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,10:00:11,200604033363209.00,B,15,15,2950,N
XXX,EQ,3-Apr-06,10:00:13,200604030051188.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,10:00:15,200604030051383.00,S,1,1,2975,N
XXX,EQ,3-Apr-06,10:00:17,200604030051633.00,S,1,1,2985,N
XXX,EQ,3-Apr-06,10:00:17,200604030051686.00,S,10,10,2992,N
XXX,EQ,3-Apr-06,10:00:18,200604033385874.00,S,5,5,2961.25,N
XXX,EQ,3-Apr-06,10:00:21,200604030052261.00,B,50,50,2965,N
XXX,EQ,3-Apr-06,10:00:23,200604033386587.00,S,8,8,3040,N
XXX,EQ,3-Apr-06,10:00:24,200604033386797.00,S,1,1,2965,N
XXX,EQ,3-Apr-06,10:00:25,200604030052701.00,B,20,200,2960.1,N
XXX,EQ,3-Apr-06,10:00:26,200604036729418.00,S,3,3,2997,N
XXX,EQ,3-Apr-06,10:00:27,200604030049340.00,B,44,400,2960.05,N
XXX,EQ,3-Apr-06,10:00:27,200604030053027.00,S,5,5,3000,N
XXX,EQ,3-Apr-06,10:00:30,200604036700478.00,B,25,250,2966,N
