symbol,series,date,time,tno,p,vol,bno,sno
XXX,EQ,3-Apr-06,10:04:44,200604030051269.00,2972,1,200604033421316.00,200604030081055.00
XXX,EQ,3-Apr-06,10:04:48,200604030051535.00,2970,1,200604030080950.00,200604030081460.00
XXX,EQ,3-Apr-06,10:04:49,200604030051641.00,2967,1,200604030075817.00,200604036770626.00
XXX,EQ,3-Apr-06,10:04:51,200604030051806.00,2970,1,200604036770871.00,200604030081460.00
XXX,EQ,3-Apr-06,10:04:58,200604030052370.00,2970,1,200604030083353.00,200604030081460.00
XXX,EQ,3-Apr-06,10:04:59,200604030052393.00,2970,22,200604036771911.00,200604030081460.00
XXX,EQ,3-Apr-06,10:04:59,200604030052394.00,2970,1,200604036771911.00,200604030082569.00
XXX,EQ,3-Apr-06,10:04:59,200604030052395.00,2971.9,199,200604036771911.00,200604030081055.00
XXX,EQ,3-Apr-06,10:04:59,200604030052396.00,2971.95,1,200604036771911.00,200604033422046.00
XXX,EQ,3-Apr-06,10:04:59,200604030052397.00,2972,56,200604036771911.00,200604036770869.00
XXX,EQ,3-Apr-06,10:05:01,200604030052679.00,2973,50,200604033423411.00,200604030080987.00
XXX,EQ,3-Apr-06,10:05:02,200604030052714.00,2967,5,200604030075817.00,200604033423491.00
XXX,EQ,3-Apr-06,10:05:09,200604030053328.00,2970,1,200604030083738.00,200604030084537.00
XXX,EQ,3-Apr-06,10:05:09,200604030053334.00,2967,13,200604030075817.00,200604033424537.00
XXX,EQ,3-Apr-06,10:05:09,200604030053335.00,2967,1,200604030079523.00,200604033424537.00
XXX,EQ,3-Apr-06,10:05:11,200604030053524.00,2967,86,200604036773540.00,200604033424537.00
XXX,EQ,3-Apr-06,10:05:11,200604030053525.00,2970,114,200604036773540.00,200604030084537.00
XXX,EQ,3-Apr-06,10:05:17,200604030054080.00,2970,2,200604030085418.00,200604030084537.00
XXX,EQ,3-Apr-06,10:05:33,200604030055494.00,2969.9,4,200604036776425.00,200604036774756.00
XXX,EQ,3-Apr-06,10:05:33,200604030055495.00,2970,46,200604036776425.00,200604030084537.00
